id_reg,desc_reg,date,load_mwmed
N,NORTE,2000-01-01 00:00:00,2243.5125
NE,NORDESTE,2000-01-01 00:00:00,4646.37083333
S,SUL,2000-01-01 00:00:00,4800.65
SE,SUDESTE,2000-01-01 00:00:00,19045.99583333
N,NORTE,2000-01-02 00:00:00,2259.80833333
NE,NORDESTE,2000-01-02 00:00:00,4895.72083333
S,SUL,2000-01-02 00:00:00,4899.8
SE,SUDESTE,2000-01-02 00:00:00,19398.025
N,NORTE,2000-01-03 00:00:00,2407.42916667
NE,NORDESTE,2000-01-03 00:00:00,5736.00833333
S,SUL,2000-01-03 00:00:00,6261.55416667
SE,SUDESTE,2000-01-03 00:00:00,23061.74583333
N,NORTE,2000-01-04 00:00:00,2404.21666667
NE,NORDESTE,2000-01-04 00:00:00,5783.77083333
S,SUL,2000-01-04 00:00:00,6733.74166667
SE,SUDESTE,2000-01-04 00:00:00,24228.24166667
N,NORTE,2000-01-05 00:00:00,2439.65
NE,NORDESTE,2000-01-05 00:00:00,5753.12083333
S,SUL,2000-01-05 00:00:00,6961.17083333
SE,SUDESTE,2000-01-05 00:00:00,24807.9375
N,NORTE,2000-01-06 00:00:00,2426.68333333
NE,NORDESTE,2000-01-06 00:00:00,5802.94166667
S,SUL,2000-01-06 00:00:00,7110.3625
SE,SUDESTE,2000-01-06 00:00:00,25334.64583333
N,NORTE,2000-01-07 00:00:00,2430.90833333
NE,NORDESTE,2000-01-07 00:00:00,5658.54166667
S,SUL,2000-01-07 00:00:00,7105.35416667
SE,SUDESTE,2000-01-07 00:00:00,25410.19166667
N,NORTE,2000-01-08 00:00:00,2286.35
NE,NORDESTE,2000-01-08 00:00:00,5394.375
S,SUL,2000-01-08 00:00:00,6307.4875
SE,SUDESTE,2000-01-08 00:00:00,22866.175
N,NORTE,2000-01-09 00:00:00,2242.66666667
NE,NORDESTE,2000-01-09 00:00:00,4931.13333333
S,SUL,2000-01-09 00:00:00,5523.62083333
SE,SUDESTE,2000-01-09 00:00:00,20849.1875
N,NORTE,2000-01-10 00:00:00,2417.59583333
NE,NORDESTE,2000-01-10 00:00:00,5643.17083333
S,SUL,2000-01-10 00:00:00,7111.32083333
SE,SUDESTE,2000-01-10 00:00:00,25441.55416667
N,NORTE,2000-01-11 00:00:00,2416.76666667
NE,NORDESTE,2000-01-11 00:00:00,5724.17916667
S,SUL,2000-01-11 00:00:00,7435.05833333
SE,SUDESTE,2000-01-11 00:00:00,26375.7875
N,NORTE,2000-01-12 00:00:00,2418.35833333
NE,NORDESTE,2000-01-12 00:00:00,5813.52916667
S,SUL,2000-01-12 00:00:00,7425.49166667
SE,SUDESTE,2000-01-12 00:00:00,26604.4
N,NORTE,2000-01-13 00:00:00,2428.52083333
NE,NORDESTE,2000-01-13 00:00:00,5888.7625
S,SUL,2000-01-13 00:00:00,7505.575
SE,SUDESTE,2000-01-13 00:00:00,26731.56666667
N,NORTE,2000-01-14 00:00:00,2440.20416667
NE,NORDESTE,2000-01-14 00:00:00,5929.91666667
S,SUL,2000-01-14 00:00:00,7532.275
SE,SUDESTE,2000-01-14 00:00:00,27027.00833333
N,NORTE,2000-01-15 00:00:00,2352.90833333
NE,NORDESTE,2000-01-15 00:00:00,5504.18333333
S,SUL,2000-01-15 00:00:00,6435.9125
SE,SUDESTE,2000-01-15 00:00:00,24565.8
N,NORTE,2000-01-16 00:00:00,2263.8375
NE,NORDESTE,2000-01-16 00:00:00,5123.45
S,SUL,2000-01-16 00:00:00,5621.175
SE,SUDESTE,2000-01-16 00:00:00,21929.79583333
N,NORTE,2000-01-17 00:00:00,2433.975
NE,NORDESTE,2000-01-17 00:00:00,5883.1375
S,SUL,2000-01-17 00:00:00,7234.96666667
SE,SUDESTE,2000-01-17 00:00:00,26523.67083333
N,NORTE,2000-01-18 00:00:00,2479.86666667
NE,NORDESTE,2000-01-18 00:00:00,6048.15
S,SUL,2000-01-18 00:00:00,7517.37291667
SE,SUDESTE,2000-01-18 00:00:00,27212.5625
N,NORTE,2000-01-19 00:00:00,2439.2375
NE,NORDESTE,2000-01-19 00:00:00,6028.56666667
S,SUL,2000-01-19 00:00:00,7391.79583333
SE,SUDESTE,2000-01-19 00:00:00,27165.69583333
N,NORTE,2000-01-20 00:00:00,2494.57916667
NE,NORDESTE,2000-01-20 00:00:00,6063.45
S,SUL,2000-01-20 00:00:00,7365.1125
